"189","Уголь","8"
"190","Управление предприятием","8"
"191","Воспитатель, Гувернантка, Няня","9"
"192","Домработница, Горничная","9"
"193","Персональный водитель","9"
"194","Повар","9"
"195","Помощник по хозяйству, Управляющий","9"
"196","Репетитор","9"
"197","Садовник","9"
"198","Сиделка","9"
"199","FMCG, Товары народного потребления","10"
"200","Автомобили, Запчасти","10"
"201","Алкоголь","10"
"202","ГСМ, нефть, бензин","10"
"203","Компьютерная техника","10"
"204","Металлопрокат","10"
"205","Начальный уровень, Мало опыта","10"
"206","Продукты питания","10"
"207","Сертификация","10"
"208","Станки, Тяжелое оборудование","10"
"209","Строительные материалы","10"
"210","Тендеры","10"
"211","Товары для бизнеса","10"
"212","Управление закупками","10"
"213","Фармацевтика","10"
"214","Химическая продукция","10"
"215","Электроника, фото, видео","10"
"216","Электротехническое оборудование/светотехника","10"
"217","Инсталляция и настройка оборудования","11"
"218","Менеджер по сервису - промышленное оборудование","11"
"219","Менеджер по сервису - сетевые и телекоммуникационные технологии","11"
"220","Менеджер по сервису - транспорт","11"
"221","Руководитель сервисного центра","11"
"222","Сервисный инженер","11"
"223","CRM системы","12"
"224","CTO, CIO, Директор по IT","12"
"225","Web инженер","12"
"226","Web мастер","12"
"227","Администратор баз данных","12"
"228","Аналитик","12"
"229","Арт-директор","12"
"230","Банковское ПО","12"
"231","Игровое ПО","12"
"232","Инженер","12"
"233","Интернет","12"
"234","Компьютерная безопасность","12"
"235","Консалтинг, Аутсорсинг","12"
"236","Контент","12"
"237","Маркетинг","12"
"238","Мультимедиа","12"
"239","Начальный уровень, Мало опыта","12"
"240","Оптимизация сайта (SEO)","12"
"241","Передача данных и доступ в интернет","12"
"242","Поддержка, Helpdesk","12"
"243","Программирование, Разработка","12"
"244","Продажи","12"
"245","Продюсер","12"
"246","Развитие бизнеса","12"
"247","Сетевые технологии","12"
"248","Системная интеграция","12"
"249","Системный администратор","12"
"250","Системы автоматизированного проектирования","12"
"251","Системы управления предприятием (ERP)","12"
"252","Сотовые, Беспроводные технологии","12"
"253","Стартапы","12"
"254","Телекоммуникации","12"
"255","Тестирование","12"
"256","Технический писатель","12"
"257","Управление проектами","12"
"258","Электронная коммерция","12"
"259","Дизайн, графика, живопись","13"
"260","Журналистика","13"
"261","Издательская деятельность","13"
"262","Казино и игорный бизнес","13"
"263","Кино","13"
"264","Литературная, Редакторская деятельность","13"
"265","Мода","13"
"266","Музыка","13"
"267","Начальный уровень, Мало опыта","13"
"268","Пресса","13"
"269","Прочее","13"
"270","Радио","13"
"271","Телевидение","13"
"272","Фотография","13"
"273","Internet, E-Commerce","14"
"274","Knowledge management","14"
"275","PR Consulting","14"
"276","Информационные технологии","14"
"277","Исследования рынка","14"
"278","Корпоративные финансы","14"
"279","Начальный уровень, Мало опыта","14"
"280","Недвижимость","14"
"281","Организационное консультирование","14"
"282","Реинжиниринг бизнес процессов","14"
"283","Реинжиниринг, Аутсорсинг финансовой функции","14"
"284","Стратегия","14"
"285","Управление практикой","14"
"286","Управление проектами","14"
"287","Управленческое консультирование","14"
"288","Below The Line (BTL)","15"
"289","PR, Маркетинговые коммуникации","15"
"290","Аналитик","15"
"291","Арт директор","15"
"292","Ассистент","15"
"293","Бренд-менеджмент","15"
"294","Верстальщик","15"
"295","Дизайнер","15"
"296","Интернет-маркетинг","15"
"297","Исследования рынка","15"
"298","Консультант","15"
"299","Копирайтер","15"
"300","Менеджер по работе с клиентами","15"
"301","Менеджмент продукта (Product manager)","15"
"302","Мерчендайзинг","15"
"303","Наружная реклама","15"
"304","Начальный уровень/Мало опыта","15"
"305","Печатная реклама","15"
"306","Планирование, Размещение рекламы","15"
"307","Политический PR","15"
"308","Проведение опросов, Интервьюер","15"
"309","Продвижение, Специальные мероприятия","15"
"310","Производство рекламы","15"
"311","Промоутер","15"
"312","Радио реклама","15"
"313","Рекламный агент","15"
"314","Таинственный покупатель","15"
"315","Телевизионная реклама","15"
"316","Торговый маркетинг(Trade marketing)","15"
"317","Управление маркетингом","15"
"318","Управление проектами","15"
"319","Ветеринария","16"
"320","Врач-эксперт","16"
"321","Дефектолог, Логопед","16"
"322","Клинические исследования","16"
"323","Лаборант","16"
"324","Лекарственные препараты","16"
"325","Лечащий врач","16"
"326","Маркетинг","16"
"327","Медицинский представитель","16"
"328","Медицинский советник","16"
"329","Медицинское оборудование","16"
"330","Младший и средний медперсонал","16"
"331","Начальный уровень, Мало опыта","16"
"332","Оптика","16"
"333","Провизор","16"
"334","Продажи","16"
"335","Производство","16"
"336","Психология","16"
"337","Регистратура","16"
"338","Сертификация","16"
"339","Фармацевт","16"
"340","Биотехнологии","17"
"341","Гуманитарные науки","17"
"342","Инженерные науки","17"
"343","Информатика, Информационные системы","17"
"344","Математика","17"
"345","Науки о Земле","17"
"346","Начальный уровень, Мало опыта","17"
"347","Преподавание","17"
"348","Физика","17"
"349","Химия","17"
"350","Экономика, Менеджмент","17"
"351","Языки","17"
"352","Автомобильный бизнес","18"
"353","Административный персонал","18"
"354","Добыча сырья","18"
"355","Информационные технологии, Интернет, Мультимедиа","18"
"356","Искусство, Развлечения, Масс-медиа","18"
"357","Консультирование","18"
"358","Маркетинг, Реклама, PR","18"
"359","Медицина, Фармацевтика","18"
"360","Наука, Образование","18"
"361","Продажи","18"
"362","Производство, Технологии","18"
"363","Страхование","18"
"364","Строительство, Архитектура","18"
"365","Транспорт, Логистика","18"
"366","Туризм, Гостиницы, Рестораны","18"
"367","Управление персоналом","18"
"368","Финансы, Банки, Инвестиции","18"
"369","Юристы","18"
"370","FMCG, Товары народного потребления","19"
"371","Автомобили, Запчасти","19"
"372","Алкоголь","19"
"373","Бытовая техника","19"
"374","ГСМ, нефть, бензин","19"
"375","Дилерские сети","19"
"376","Дистрибуция","19"
"377","Клининговые услуги","19"
"378","Компьютерная техника","19"
"379","Компьютерные программы","19"
"380","Мебель","19"
"381","Медицина, Фармацевтика","19"
"382","Менеджер по работе с клиентами","19"
"383","Металлопрокат","19"
"384","Многоуровневый маркетинг","19"
"385","Начальный уровень, Мало опыта","19"
"386","Оптовая торговля","19"
"387","Продавец в магазине","19"
"388","Продажи по телефону, Телемаркетинг","19"
"389","Продукты питания","19"
"390","Прямые продажи","19"
"391","Решения по автоматизации процессов","19"
"392","Розничная торговля","19"
"393","Сантехника","19"
"394","Сельское хозяйство","19"
"395","Сертификация","19"
"396","Системы безопасности","19"
"397","Станки, тяжелое оборудование","19"
"398","Строительные материалы","19"
"399","Текстиль, Одежда, Обувь","19"
"400","Телекоммуникации, Сетевые решения","19"
"401","Тендеры","19"
"402","Товары для бизнеса","19"
"403","Торговля биржевыми товарами","19"
"404","Торговые сети","19"
"405","Торговый представитель","19"
"406","Управление продажами","19"
"407","Услуги для бизнеса","19"
"408","Услуги для населения","19"
"409","Финансовые услуги","19"
"410","Франчайзинг","19"
"411","Химическая продукция","19"
"412","Цветные металлы","19"
"413","Электроника, фото, видео","19"
"414","Электротехническое оборудование, Светотехника","19"
"415","Автомобильная промышленность","20"
"416","Главный агроном","20"
"417","Главный инженер","20"
"418","Главный механик","20"
"419","Деревообработка, Лесная промышленность","20"
"420","Закупки и снабжение","20"
"421","Инженер","20"
"422","Конструктор","20"
"423","Контроль качества","20"
"424","Легкая промышленность","20"
"425","Машиностроение","20"
"426","Мебельное производство","20"
"427","Металлургия","20"
"428","Метролог","20"
"429","Начальный уровень, Мало опыта","20"
"430","Нефтепереработка","20"
"431","Охрана труда","20"
"432","Пищевая промышленность","20"
"433","Полиграфия","20"
"434","Радиоэлектронная промышленность","20"
"435","Руководство предприятием","20"
"436","Сельхозпроизводство","20"
"437","Сертификация","20"
"438","Стройматериалы","20"
"439","Табачная промышленность","20"
"440","Технолог","20"
"441","Управление проектами","20"
"442","Управление цехом","20"
"443","Фармацевтическая промышленность","20"
"444","Химическая промышленность","20"
"445","Эколог","20"
"446","Электроэнергетика","20"
"447","Энергетик производства","20"
"448","Ювелирная промышленность","20"
"449","Гардеробщик","21"
"450","Грузчик","21"
"451","Дворник, Уборщица","21"
"452","Дорожные рабочие","21"
"453","Другое","21"
"454","Жестянщик","21"
"455","Заправщик картриджей","21"
"456","Комплектовщик, Укладчик-упаковщик","21"
"457","Краснодеревщик","21"
"458","Кузнец","21"
"459","Лифтер","21"
"460","Маляр","21"
"461","Машинист производства","21"
"462","Машинист сцены","21"
"463","Машинист экскаватора","21"
"464","Механик","21"
"465","Монтажник","21"
"466","Наладчик","21"
"467","Оператор станков","21"
"468","Пастух, Чабан","21"
"469","Перемотчик","21"
"470","Проводник","21"
"471","Разнорабочий","21"
"472","Сантехник","21"
"473","Сборщик","21"
"474","Сварщик","21"
"475","Слесарь","21"
"476","Столяр","21"
"477","Токарь, Фрезеровщик","21"
"478","Фасовщик","21"
"479","Швея","21"
"480","Шлифовщик","21"
"481","Штукатур","21"
"482","Электрик","21"
"483","Электромонтер, Кабельщик","21"
"484","Ювелир","21"
"485","Администрация","22"
"486","Косметология","22"
"487","Массажист","22"
"488","Ногтевой сервис","22"
"489","Парикмахер","22"
"490","Продажи","22"
"491","Тренерский состав","22"
"492","Автострахование","23"
"493","Агент","23"
"494","Актуарий","23"
"495","Андеррайтер","23"
"496","Врач-эксперт","23"
"497","Комплексное страхование физических лиц","23"
"498","Комплексное страхование юридических лиц","23"
"499","Медицинское страхование","23"
"500","Начальный уровень, Мало опыта","23"
"501","Перестрахование","23"
"502","Руководитель направления","23"
"503","Страхование бизнеса","23"
"504","Страхование жизни","23"
"505","Страхование недвижимости","23"
"506","Страхование ответственности","23"
"507","Урегулирование убытков","23"
"508","Эксперт-оценщик","23"
"509","Агент","24"
"510","Водоснабжение и канализация","24"
"511","Геодезия и картография","24"
"512","Гостиницы, Магазины","24"
"513","Девелопер","24"
"514","Дизайн/Оформление","24"
"515","ЖКХ","24"
"516","Жилье","24"
"517","Землеустройство","24"
"518","Инженер","24"
"519","Начальный уровень/Мало опыта","24"
"520","Нежилые помещения","24"
"521","Отопление, вентиляция и кондиционирование","24"
"522","Оценка","24"
"523","Проектирование, Архитектура","24"
"524","Прораб","24"
"525","Рабочие строительных специальностей","24"
"526","Строительство","24"
"527","Тендеры","24"
"528","Управление проектами","24"
"529","Эксплуатация","24"
"530","Авиаперевозки","25"
"531","Автоперевозки","25"
"532","Бизнес-авиация","25"
"533","ВЭД","25"
"534","Водитель","25"
"535","Гражданская авиация","25"
"536","Диспетчер","25"
"537","Железнодорожные перевозки","25"
"538","Закупки, Снабжение","25"
"539","Кладовщик","25"
"540","Контейнерные перевозки","25"
"541","Логистика","25"
"542","Начальный уровень, Мало опыта","25"
"543","Рабочий склада","25"
"544","Складское хозяйство","25"
"545","Таможенное оформление","25"
"546","Трубопроводы","25"
"547","Экспедитор","25"
"548","Авиабилеты","26"
"549","Анимация","26"
"550","Банкеты","26"
"551","Бронирование","26"
"552","Гид, Экскурсовод","26"
"553","Кейтеринг","26"
"554","Начальный уровень, Мало опыта","26"
"555","Организация встреч, Конференций","26"
"556","Организация туристических продуктов","26"
"557","Официант, Бармен","26"
"558","Оформление виз","26"
"559","Персонал кухни","26"
"560","Повар","26"
"561","Продажа туристических услуг","26"
"562","Размещение, Обслуживание гостей","26"
"563","Сомелье","26"
"564","Управление гостиницами","26"
"565","Управление ресторанами, Барами","26"
"566","Управление туристическим бизнесом","26"
"567","Хостес","26"
"568","Швейцар","26"
"569","Шеф-повар","26"
"570","Компенсации и льготы","27"
"571","Начальный уровень, Мало опыта","27"
"572","Развитие персонала","27"
"573","Рекрутмент","27"
"574","Тренинги","27"
"575","Управление персоналом","27"
"576","Учет кадров","27"
"577","Compliance","28"
"578","Авторское право","28"
"579","Адвокат","28"
"580","Антимонопольное право","28"
"581","Арбитраж","28"
"582","Банковское право","28"
"583","Взыскание задолженности, Коллекторская деятельность","28"
"584","Договорное право","28"
"585","Законотворчество","28"
"586","Земельное право","28"
"587","Интеллектуальная собственность","28"
"588","Корпоративное право","28"
"589","Международное право","28"
"590","Морское право","28"
"591","Налоговое право","28"
"592","Начальный уровень, Мало опыта","28"
"593","Недвижимость","28"
"594","Недропользование","28"
"595","Помощник","28"
"596","Регистрация юридических лиц","28"
"597","Семейное право","28"
"598","Слияния и поглощения","28"
"599","Страховое право","28"
"600","Трудовое право","28"
"601","Уголовное право","28"
"602","Ценные бумаги, Рынки капитала","28"
"603","Юрисконсульт","28"
"604","Разное","1"
"605","Разное","2"
"606","Разное","3"
"607","Разное","4"
"608","Разное","5"
"609","Разное","6"
"610","Разное","7"
"611","Разное","8"
"612","Разное","9"
"613","Разное","10"
"614","Разное","11"
"615","Разное","12"
"616","Разное","13"
"617","Разное","14"
"618","Разное","15"
"619","Разное","16"
"620","Разное","17"
"621","Разное","18"
"622","Разное","19"
"623","Разное","20"
"624","Разное","21"
"625","Разное","22"
"626","Разное","23"
"627","Разное","24"
"628","Разное","25"
"629","Разное","26"
"630","Разное","27"
"631","Разное","28"
"632","Без опыта, сетевой маркетинг",NULL
"633","Разное","632"
